Year,Rnd,DT,OvPck,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
2012,1,,11,11,Athletics,Y,$2625000,Addison Russell (minors)\russead02,SS,11.3,615,1987,60,.242,.704,,,,,,,HS,Pace HS (Pace FL)
2012,1s,,34,34,Athletics,Y,$1500000,*Daniel Robertson (minors)\roberda10,SS,2.3,299,801,18,.227,.683,3,0,0,0.00,0.67,0,HS,Upland HS (Upland CA)
2012,1s,,47,47,Athletics,Y,$1079700,*Matt Olson (minors)\olsonma02,1B,15.4,499,1773,123,.252,.852,,,,,,,HS,Parkview HS (Lilburn GA)
2012,2,,62,2,Athletics via Twins,Y,$700000,*Bruce Maxwell (minors)\maxwebr01,C,0.5,127,366,5,.240,.661,,,,,,,4Yr,Birmingham-Southern College (Birmingham AL)
2012,2,,74,14,Athletics,Y,$710000,Nolan Sanburn (minors),RHP,,,,,,,,,,,,,4Yr,University of Arkansas (Fayetteville AR)
2012,3,,106,11,Athletics,N,,Kyle Twomey (minors),LHP,,,,,,,,,,,,,HS,El Dorado HS (Placentia CA)
2012,4,,139,11,Athletics,Y,$300000,BJ Boyd (minors),CF,,,,,,,,,,,,,HS,Palo Alto HS (Palo Alto CA)
2012,5,,169,11,Athletics,Y,$240000,Max Muncy (minors)\muncyma01,1B,13.8,504,1532,105,.240,.863,,,,,,,4Yr,Baylor University (Waco TX)
2012,6,,199,11,Athletics,Y,$183500,Seth Streich (minors),RHP,,,,,,,,,,,,,4Yr,Ohio University (Athens OH)
2012,7,,229,11,Athletics,Y,$147000,Cody Kurz (minors),RHP,,,,,,,,,,,,,JC,Oxnard College (Oxnard CA)
2012,8,,259,11,Athletics,Y,$137200,Kris Hall (minors),RHP,,,,,,,,,,,,,4Yr,Lee University (Cleveland TN)
2012,9,,289,11,Athletics,Y,$128200,Dakota Bacus (minors)\bacusda01,RHP,-0.1,0,0,0,,,11,0,0,7.94,2.03,0,4Yr,Indiana State University (Terre Haute IN)
