Year,Rnd,DT,OvPck,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
2012,1,,8,8,Pirates,N,,Mark Appel (minors),RHP,,,,,,,,,,,,,4Yr,Stanford University (Palo Alto CA)
2012,1s,,45,45,Pirates,Y,$1000000,*Barrett Barnes (minors),OF,,,,,,,,,,,,,4Yr,Texas Tech University (Lubbock TX)
2012,2,,69,9,Pirates,Y,$746300,Wyatt Mathisen (minors)\mathiwy01,C,0.0,32,69,3,.159,.587,1,0,0,0.00,1.00,0,HS,Calallen HS (Corpus Christi TX)
2012,3,,103,8,Pirates,Y,$462900,Jonathan Sandfort (minors),RHP,,,,,,,,,,,,,HS,Winter Springs HS (Winter Springs FL)
2012,4,,136,8,Pirates,N,,Brandon Thomas (minors),CF,,,,,,,,,,,,,4Yr,Georgia Institute of Technology (Atlanta GA)
2012,5,,166,8,Pirates,Y,$250000,Adrian Sampson (minors)\sampsad01,RHP,1.3,3,2,0,.000,.000,41,6,12,5.71,1.50,0,JC,Bellevue Community College (Bellevue WA)
2012,6,,196,8,Pirates,Y,$100000,Eric Wood (minors),3B,,,,,,,,,,,,,JC,Blinn College (Brenham TX)
2012,7,,226,8,Pirates,Y,$10000,Jacob Stallings (minors)\stallja01,C,4.2,201,594,14,.249,.695,1,0,0,0.00,0.00,0,4Yr,University of North Carolina at Chapel Hill (Chapel Hill NC)
2012,8,,256,8,Pirates,Y,$130000,Kevin Ross (minors),SS,,,,,,,,,,,,,HS,Niles West HS (Skokie IL)
2012,9,,286,8,Pirates,Y,$5000,D.J. Crumlich (minors),SS,,,,,,,,,,,,,4Yr,University of California Irvine (Irvine CA)
2012,10,,316,8,Pirates,Y,$5000,Pat Ludwig (minors),RHP,,,,,,,,,,,,,4Yr,Yale University (New Haven CT)
2012,11,,346,8,Pirates,Y,$100000,Chris Diaz (minors),SS,,,,,,,,,,,,,4Yr,North Carolina State University (Raleigh NC)
2012,12,,376,8,Pirates,Y,,Dalton Friend (minors),LHP,,,,,,,,,,,,,JC,Jefferson College (Hillsboro MO)
