Year,Rnd,DT,OvPck,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
2013,1,,6,6,Marlins,Y,$3516500,Colin Moran (minors)\moranco01,3B,0.2,410,1250,39,.271,.755,,,,,,,4Yr,University of North Carolina at Chapel Hill (Chapel Hill NC)
2013,1,,35,35,Marlins,N,,Matt Krook (minors),LHP,,,,,,,,,,,,,HS,St. Ignatius HS (San Francisco CA)
2013,2,,44,5,Marlins,Y,$1261400,Trevor Williams (minors)\willitr01,RHP,4.8,97,134,0,.127,.309,116,34,39,4.50,1.36,0,4Yr,Arizona State University (Tempe AZ)
2013,2,,73,34,Marlins,Y,$600000,Colby Suggs (minors),RHP,,,,,,,,,,,,,4Yr,University of Arkansas (Fayetteville AR)
2013,3,,80,7,Marlins,N,,Ben DeLuzio (minors),SS,,,,,,,,,,,,,HS,The First Academy (Orlando FL)
2013,4,,112,6,Marlins,Y,$459200,K.J. Woods (minors),RF,,,,,,,,,,,,,HS,Fort Mill HS (Fort Mill SC)
2013,5,,142,6,Marlins,Y,$343900,Chad Wallach (minors)\wallach01,C,-0.5,76,207,3,.208,.576,,,,,,,4Yr,California State University Fullerton (Fullerton CA)
2013,6,,172,6,Marlins,Y,$225000,Ryan Aper (minors),CF,,,,,,,,,,,,,JC,Lincoln Land Community College (Springfield IL)
2013,7,,202,6,Marlins,Y,$525000,Justin Bohn (minors),SS,,,,,,,,,,,,,JC,Feather River College (Quincy CA)
2013,8,,232,6,Marlins,Y,$135000,Iramis Olivencia (minors),2B,,,,,,,,,,,,,HS,Arlington Country Day School (Jacksonville FL)
2013,9,,262,6,Marlins,Y,$20000,Aaron Blanton (minors),SS,,,,,,,,,,,,,4Yr,Richland College (Dallas TX)
2013,10,,292,6,Marlins,Y,$20000,Carlos Lopez (minors),1B,,,,,,,,,,,,,4Yr,California State University Fullerton (Fullerton CA)
2013,11,,322,6,Marlins,Y,$100000,Coco Johnson (minors),OF,,,,,,,,,,,,,4Yr,University of Louisville (Louisville KY)
2013,12,,352,6,Marlins,Y,,C.J. Robinson (minors),RHP,,,,,,,,,,,,,JC,St. Johns River Community College (Palatka FL)
2013,13,,382,6,Marlins,Y,$100000,JT Riddle (minors)\riddljt01,2B,0.8,250,741,19,.223,.616,,,,,,,4Yr,University of Kentucky (Lexington KY)
2013,14,,412,6,Marlins,Y,,Scott Carcaise (minors),1B,,,,,,,,,,,,,4Yr,Florida Institute of Technology (Melbourne FL)
2013,15,,442,6,Marlins,Y,,Miles Williams (minors),LF,,,,,,,,,,,,,4Yr,California State University Northridge (Los Angeles CA)
2013,16,,472,6,Marlins,Y,,Tyler Kinley (minors)\kinlety01,RHP,0.6,91,1,0,.000,.000,123,4,5,5.05,1.43,1,4Yr,Barry University (Miami Shores FL)
2013,17,,502,6,Marlins,N,,Scott Schultz (minors),RHP,,,,,,,,,,,,,4Yr,Oregon State University (Corvallis OR)
2013,18,,532,6,Marlins,Y,,Max Garner (minors),RHP,,,,,,,,,,,,,4Yr,Baylor University (Waco TX)
2013,19,,562,6,Marlins,Y,,Will White (minors),LHP,,,,,,,,,,,,,JC,College of Marin (Kentfield CA)
2013,20,,592,6,Marlins,Y,,Juan Avila (minors),3B,,,,,,,,,,,,,4Yr,California State University Long Beach (Long Beach CA)
2013,21,,622,6,Marlins,Y,,Sam Alvis (minors),LHP,,,,,,,,,,,,,4Yr,Louisiana Tech University (Ruston LA)
