Year,Rnd,DT,OvPck,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
2013,1,,12,12,Mariners,Y,$2759100,D.J. Peterson (minors),3B,,,,,,,,,,,,,4Yr,University of New Mexico (Albuquerque NM)
2013,2,,49,10,Mariners,Y,$1700000,Austin Wilson (minors),RF,,,,,,,,,,,,,4Yr,Stanford University (Palo Alto CA)
2013,3,,85,12,Mariners,Y,$650000,Tyler O'Neill (minors)\oneilty01,RF,5.1,236,630,36,.246,.775,,,,,,,HS,Garibaldi SS (Maple Ridge BC)
2013,4,,117,11,Mariners,Y,$550000,Ryan Horstman (minors),LHP,,,,,,,,,,,,,4Yr,St. John's University (Queens NY)
2013,5,,147,11,Mariners,Y,$327600,Jack Reinheimer (minors)\reinhja01,SS,-0.4,23,35,0,.143,.393,,,,,,,4Yr,East Carolina University (Greenville NC)
2013,6,,177,11,Mariners,Y,$400000,Corey Simpson (minors),RF,,,,,,,,,,,,,HS,Sweeny HS (Sweeny TX)
2013,7,,207,11,Mariners,Y,$10000,Tyler Olson (minors)\olsonty01,LHP,1.2,6,0,0,,,124,5,3,3.83,1.49,1,4Yr,Gonzaga University (Spokane WA)
2013,8,,237,11,Mariners,Y,$20000,Tyler Smith (minors)\smithty01,SS,0.2,10,16,0,.188,.513,,,,,,,4Yr,Oregon State University (Corvallis OR)
2013,9,,267,11,Mariners,Y,$5000,Jake Zokan (minors),LHP,,,,,,,,,,,,,4Yr,College of Charleston (Charleston SC)
2013,10,,297,11,Mariners,Y,$5000,Emilio Pagan (minors)\paganem01,RHP,3.5,47,4,0,.000,.000,214,13,7,3.38,1.00,22,4Yr,Belmont Abbey College (Belmont NC)
2013,11,,327,11,Mariners,Y,$100000,Zack Littell (minors)\litteza01,RHP,0.3,31,1,0,.000,.000,74,6,2,4.18,1.43,0,HS,Eastern Alamance HS (Haw River NC)
