Year,Rnd,DT,OvPck,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
2018,1,,8,8,Braves,N,,Carter Stewart (minors),RHP,,,,,,,,,,,,,HS,Eau Gallie HS (Melbourne FL)
2018,2,,49,6,Braves,Y,$1200000,Greyson Jenista (minors),1B,,,,,,,,,,,,,4Yr,Wichita State University (Wichita KS)
2018,4,,112,8,Braves,Y,$900000,Tristan Beck (minors),RHP,,,,,,,,,,,,,4Yr,Stanford University (Palo Alto CA)
2018,5,,142,8,Braves,Y,$450000,Trey Riley (minors),RHP,,,,,,,,,,,,,JC,John A Logan College (Carterville IL)
2018,6,,172,8,Braves,Y,$240000,Andrew Moritz (minors),CF,,,,,,,,,,,,,4Yr,University of North Carolina at Greensboro (Greensboro NC)
2018,7,,202,8,Braves,Y,$80000,Brooks Wilson (minors),RHP,,,,,,,,,,,,,4Yr,Stetson University (DeLand FL)
2018,8,,232,8,Braves,Y,$300000,AJ Graffanino (minors),SS,,,,,,,,,,,,,4Yr,University of Washington (Seattle WA)
2018,9,,262,8,Braves,Y,$135000,Ryan Shetter (minors),RHP,,,,,,,,,,,,,4Yr,Texas Tech University (Lubbock TX)
2018,10,,292,8,Braves,Y,$10000,Brett Langhorne (minors),3B,,,,,,,,,,,,,4Yr,Carson-Newman University (Jefferson City TN)
2018,11,,322,8,Braves,Y,$125000,Jake Higginbotham (minors),LHP,,,,,,,,,,,,,4Yr,Clemson University (Clemson SC)
2018,12,,352,8,Braves,Y,$150000,Nolan Kingham (minors),RHP,,,,,,,,,,,,,4Yr,University of Texas at Austin (Austin TX)
2018,13,,382,8,Braves,Y,$125000,Brendan Venter (minors),1B,,,,,,,,,,,,,4Yr,Auburn University (Auburn AL)
2018,14,,412,8,Braves,Y,$200000,Victor Vodnik (minors),RHP,,,,,,,,,,,,,HS,Rialto HS (Rialto CA)
2018,15,,442,8,Braves,Y,$125000,Greg Cullen (minors),2B,,,,,,,,,,,,,4Yr,Niagara University (Lewiston NY)
2018,16,,472,8,Braves,Y,$125000,Ty Harpenau (minors),RHP,,,,,,,,,,,,,4Yr,Texas Tech University (Lubbock TX)
2018,17,,502,8,Braves,Y,$125000,Justin Dean (minors),CF,,,,,,,,,,,,,4Yr,Lenoir-Rhyne University (Hickory NC)
2018,18,,532,8,Braves,Y,$75000,Cameron Kurz (minors),RHP,,,,,,,,,,,,,4Yr,University of California San Diego (La Jolla CA)
2018,19,,562,8,Braves,Y,$125000,Zach Daniels (minors),P,,,,,,,,,,,,,4Yr,University of Iowa (Iowa City IA)
2018,20,,592,8,Braves,Y,$125000,CJ Alexander (minors),3B,,,,,,,,,,,,,JC,State College of Florida Manatee-Sarasota (Bradenton FL)
2018,21,,622,8,Braves,Y,$125000,Tanner Lawson (minors),P,,,,,,,,,,,,,4Yr,St. Edward's University (Austin TX)
2018,22,,652,8,Braves,Y,$125000,Ray Soderman (minors),C,,,,,,,,,,,,,4Yr,University of Oregon (Eugene OR)
2018,23,,682,8,Braves,Y,$125000,William Woods (minors),RHP,,,,,,,,,,,,,JC,Dyersburg State Community College (Dyersburg TN)
2018,24,,712,8,Braves,Y,$100000,Rusber Estrada (minors),C,,,,,,,,,,,,,4Yr,Faulkner University (Montgomery AL)
2018,25,,742,8,Braves,Y,$100000,Michael Mateja (minors),3B,,,,,,,,,,,,,4Yr,North Central College (Naperville IL)
2018,26,,772,8,Braves,Y,$125000,Zach Guth (minors),LHP,,,,,,,,,,,,,JC,Harford Community College (Bel Air MD)
2018,27,,802,8,Braves,Y,$125000,Zach Seipel (minors),RHP,,,,,,,,,,,,,4Yr,University of Minnesota Crookston (Crookston MN)
2018,28,,832,8,Braves,N,,Derek West (minors),RHP,,,,,,,,,,,,,4Yr,University of Pittsburgh (Pittsburgh PA)
2018,29,,862,8,Braves,Y,$10000,Ray Hernandez (minors),3B,,,,,,,,,,,,,4Yr,Alabama State University (Montgomery AL)
2018,30,,892,8,Braves,Y,$10000,Mitch Stallings (minors),P,,,,,,,,,,,,,4Yr,Duke University (Durham NC)
2018,31,,922,8,Braves,Y,$100000,Gabriel Rodr�guez (minors),OF,,,,,,,,,,,,,4Yr,Miami-Dade College Kendall Campus (Miami FL)
2018,32,,952,8,Braves,Y,$10000,Trey Harris (minors),2B,,,,,,,,,,,,,4Yr,University of Missouri (Columbia MO)
2018,33,,982,8,Braves,Y,$10000,Mason Berne (minors),1B,,,,,,,,,,,,,4Yr,University of North Carolina at Wilmington (Wilmington NC)
2018,34,,1012,8,Braves,N,,Zack Hess (minors),RHP,,,,,,,,,,,,,4Yr,Louisiana State University (Baton Rouge LA)
2018,35,,1042,8,Braves,Y,$125000,Logan Brown (minors),C,,,,,,,,,,,,,4Yr,University of Southern Indiana (Evansville IN)
2018,36,,1072,8,Braves,Y,$10000,Victor Cavalieri (minors),P,,,,,,,,,,,,,4Yr,Houghton College (Houghton NY)
2018,37,,1102,8,Braves,Y,$100000,Alex Camacho (minors),P,,,,,,,,,,,,,4Yr,Vanguard University of Southern California (Costa Mesa CA)
2018,38,,1132,8,Braves,N,,Franco Aleman (minors),P,,,,,,,,,,,,,HS,Braulio Alonso HS (Tampa FL)
2018,39,,1162,8,Braves,N,,Jack Perkins (minors),P,,,,,,,,,,,,,HS,Kokomo HS (Kokomo IN)
2018,40,,1192,8,Braves,N,,Micky Mangan (minors),C,,,,,,,,,,,,,HS,Pinecrest Academy (Cumming GA)
