Year,Rnd,DT,OvPck,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
2018,1,,18,18,Royals,Y,$4247500,Brady Singer (minors)\singebr01,RHP,1.5,0,0,0,,,29,7,11,4.44,1.36,0,4Yr,University of Florida (Gainesville FL)
2018,1,,33,33,Royals,Y,$2147500,Jackson Kowar (minors)\kowarja01,RHP,-0.4,0,0,,,,3,0,2,18.00,3.20,0,4Yr,University of Florida (Gainesville FL)
2018,1,,34,34,Royals,Y,$1697500,Daniel Lynch (minors)\lynchda02,LHP,-0.7,0,0,,,,3,0,2,15.75,2.88,0,4Yr,University of Virginia (Charlottesville VA)
2018,1,,40,40,Royals,Y,$1597500,Kris Bubic (minors)\bubickr01,LHP,0.8,0,0,0,,,24,3,10,4.66,1.50,0,4Yr,Stanford University (Palo Alto CA)
2018,2,,58,15,Royals,Y,$697500,Jonathan Bowlan (minors),RHP,,,,,,,,,,,,,4Yr,University of Memphis (Memphis TN)
2018,3,,94,16,Royals,Y,$592300,Kyle Isbel (minors)\isbelky01,CF,0.1,12,34,0,.265,.629,,,,,,,4Yr,University of Nevada Las Vegas (Paradise NV)
2018,4,,122,18,Royals,Y,$497500,Eric Cole (minors),CF,,,,,,,,,,,,,4Yr,University of Arkansas (Fayetteville AR)
2018,5,,152,18,Royals,Y,$447500,Austin Cox (minors),LHP,,,,,,,,,,,,,4Yr,Mercer University (Macon GA)
2018,6,,182,18,Royals,Y,$297500,Zach Haake (minors),RHP,,,,,,,,,,,,,4Yr,University of Kentucky (Lexington KY)
2018,7,,212,18,Royals,Y,$2500,Tyler Gray (minors),RHP,,,,,,,,,,,,,4Yr,University of Central Arkansas (Conway AR)
2018,8,,242,18,Royals,Y,$161300,Jackson Lueck (minors),LF,,,,,,,,,,,,,4Yr,Florida State University (Tallahassee FL)
2018,9,,272,18,Royals,Y,$144600,Kevon Jackson (minors),CF,,,,,,,,,,,,,HS,Queen Creek HS (Queen Creek AZ)
2018,10,,302,18,Royals,Y,$2500,Austin Lambright (minors),LHP,,,,,,,,,,,,,4Yr,University of Central Oklahoma (Edmond OK)
2018,11,,332,18,Royals,Y,$125000,Michael Emodi (minors),C,,,,,,,,,,,,,4Yr,Creighton University (Omaha NE)
2018,12,,362,18,Royals,Y,$722500,Rylan Kaufman (minors),LHP,,,,,,,,,,,,,JC,San Jacinto College North Campus (Houston TX)
